,PREC.I.1..in.,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
23075,8.1,3.51E+00,1.10E-01,-2.20E-01,-2.70E-01,2.70E-01,1.50E-01,1.00E-02,3.00E-02
23076,8.1,3.81E+00,0.00E+00,-3.10E-01,-8.00E-02,6.10E-01,-1.02E+00,-2.00E-02,8.00E-02
23077,8.1,4.24E+00,9.00E-02,-3.10E-01,2.00E-02,6.80E-01,-1.06E+00,-1.00E-02,9.00E-02
23078,8.1,4.50E+00,2.70E-01,-2.40E-01,2.00E-02,4.60E-01,-5.80E-01,-1.00E-02,6.00E-02
23079,8.1,4.43E+00,1.50E-01,-3.10E-01,1.20E-01,3.50E-01,-4.00E-01,0.00E+00,4.00E-02
23080,8.1,4.23E+00,-1.00E-01,-2.30E-01,5.90E-01,-2.00E-01,1.55E+00,1.00E-02,1.00E-02
23081,8.2,4.18E+00,5.70E-01,4.00E-02,4.70E-01,-1.05E+00,3.97E+00,3.00E-02,-7.00E-02
23082,8.2,3.47E+00,-4.80E-01,-2.60E-01,9.40E-01,-6.10E-01,2.80E+00,3.00E-02,-3.00E-02
23083,8.2,2.47E+00,-1.69E+00,-6.30E-01,1.38E+00,0.00E+00,8.90E-01,1.00E-02,1.00E-02
23084,8.2,2.13E+00,-1.99E+00,-7.20E-01,1.41E+00,1.50E-01,4.80E-01,-1.00E-02,3.00E-02
23085,8.2,1.58E+00,-2.39E+00,-8.40E-01,1.47E+00,3.70E-01,1.00E-02,-1.00E-02,5.00E-02
23086,8.2,1.21E+00,-2.64E+00,-9.10E-01,1.55E+00,4.20E-01,-2.70E-01,-4.00E-02,6.00E-02
23087,8.2,1.27E+00,-2.54E+00,-8.90E-01,1.49E+00,4.30E-01,-2.80E-01,-4.00E-02,6.00E-02
23088,8.2,1.27E+00,-2.62E+00,-8.90E-01,1.49E+00,5.00E-01,-2.80E-01,-3.00E-02,7.00E-02
23089,8.2,1.41E+00,-2.35E+00,-7.90E-01,1.42E+00,3.60E-01,2.70E-01,-1.00E-02,6.00E-02
23090,8.2,8.70E-01,-2.49E+00,-7.50E-01,1.33E+00,3.40E-01,2.70E-01,-1.00E-02,6.00E-02
23091,8.2,8.00E-02,-3.04E+00,-8.80E-01,1.34E+00,5.80E-01,-5.30E-01,-4.00E-02,8.00E-02
