,SMS.I.1..2..pct....silt.,V1,V2,V3,V4V,5V,V6,V7,V8
24734,7.6,-3.54E-01,-1.47E+00,2.42E-01,-1.74E+00,-5.83E-02,4.68E-02,-1.55E-01,6.87E-01
24735,8,-3.51E-01,-1.49E+00,2.11E-01,-1.71E+00,-6.12E-02,4.51E-02,-1.49E-01,7.11E-01
24736,7.8,1.86E-01,-1.56E+00,1.63E+00,-2.69E+00,-7.41E-02,1.00E-01,-2.80E-01,2.26E-02
24737,7.4,3.32E-01,-1.53E+00,5.70E-01,-2.57E+00,-5.80E-02,9.91E-02,-2.71E-01,-4.54E-01
24738,7.5,3.57E-01,-1.45E+00,1.55E+00,-2.85E+00,-1.03E-01,1.10E-01,-2.98E-01,2.36E-01
24739,7.4,2.95E-01,-1.47E+00,3.66E-01,-2.46E+00,-7.08E-02,9.14E-02,-2.55E-01,-1.43E-01
24740,7.3,3.15E-01,-1.26E+00,-7.63E-01,-2.05E+00,-6.80E-02,6.61E-02,-2.03E-01,1.64E-01
24741,6.3,3.14E-01,-1.29E+00,-8.87E-01,-1.97E+00,-7.01E-02,6.85E-02,-2.33E-01,1.37E-01
24742,6.4,3.26E-01,-1.36E+00,-9.61E-01,-1.94E+00,-7.03E-02,6.61E-02,-2.28E-01,1.73E-01
24743,6.6,3.80E-01,-1.41E+00,-1.02E+00,-1.88E+00,-6.75E-02,6.32E-02,-2.19E-01,1.71E-01
24744,6.3,3.45E-01,-1.44E+00,-1.19E+00,-1.81E+00,-6.14E-02,6.09E-02,-2.13E-01,8.29E-02
24745,6.4,3.89E-01,-1.45E+00,-1.14E+00,-1.81E+00,-6.02E-02,6.05E-02,-2.12E-01,1.18E-01
24746,6.4,3.27E-01,-1.44E+00,-1.19E+00,-1.84E+00,-5.82E-02,6.01E-02,-2.14E-01,9.72E-02
24747,6.7,3.04E-01,-1.44E+00,-1.22E+00,-1.81E+00,-5.77E-02,5.81E-02,-2.10E-01,9.38E-02
24748,6.3,3.25E-01,-1.50E+00,-1.41E+00,-1.75E+00,-4.84E-02,5.62E-02,-2.05E-01,-1.64E-02
24749,5.9,3.02E-01,-1.52E+00,-1.41E+00,-1.73E+00,-4.73E-02,5.57E-02,-2.03E-01,-1.15E-02
24750,6.3,3.20E-01,-1.48E+00,-1.38E+00,-1.73E+00,-4.60E-02,5.52E-02,-2.03E-01,-1.42E-02
24751,6.1,3.02E-01,-1.55E+00,-1.52E+00,-1.68E+00,-4.09E-02,5.30E-02,-1.97E-01,-7.79E-02
24752,5.9,3.05E-01,-1.58E+00,-1.55E+00,-1.66E+00,-3.81E-02,5.23E-02,-1.94E-01,-1.03E-01
24753,6,3.12E-01,-1.57E+00,-1.45E+00,-1.68E+00,-4.09E-02,5.29E-02,-1.96E-01,-4.06E-02
24754,6,2.33E-01,-1.50E+00,-1.37E+00,-1.68E+00,-4.53E-02,5.29E-02,-1.96E-01,1.48E-02
24755,7.2,1.52E-01,-1.22E+00,2.55E-01,-2.13E+00,-1.15E-01,6.55E-02,-2.00E-01,1.14E+00
24756,7.2,1.23E-01,-1.22E+00,2.08E-01,-2.09E+00,-1.10E-01,6.41E-02,-1.96E-01,1.08E+00
24757,8.6,1.10E-01,-1.18E+00,1.76E-01,-2.09E+00,-1.11E-01,6.14E-02,-1.93E-01,1.07E+00
24758,9.2,7.07E-02,-1.10E+00,1.53E-01,-2.11E+00,-1.05E-01,6.09E-02,-1.95E-01,9.94E-01
24759,10,-3.57E-03,-1.02E+00,1.44E-01,-2.13E+00,-1.13E-01,6.02E-02,-1.95E-01,1.05E+00
24760,10.3,1.85E-01,-1.16E+00,1.59E+00,-2.82E+00,-1.05E-01,1.04E-01,-2.89E-01,2.49E-01
24761,8.8,1.05E-01,-1.21E+00,1.58E+00,-2.81E+00,-1.10E-01,1.07E-01,-2.91E-01,2.86E-01
24762,8.5,1.45E-01,-1.25E+00,1.57E+00,-2.74E+00,-1.10E-01,1.05E-01,-2.84E-01,2.95E-01
24763,9.3,1.47E-01,-1.03E+00,-4.63E-01,-2.13E+00,-8.31E-02,6.65E-02,-2.07E-01,2.67E-01
24764,6.2,1.72E-01,-1.17E+00,-7.97E-01,-1.99E+00,-8.34E-02,6.97E-02,-2.35E-01,2.18E-01
24765,7,2.21E-01,-1.21E+00,-8.50E-01,-1.96E+00,-7.67E-02,6.59E-02,-2.29E-01,2.05E-01
24766,7.3,2.68E-01,-1.26E+00,-9.18E-01,-1.95E+00,-8.08E-02,6.38E-02,-2.26E-01,2.68E-01
24767,4.9,2.13E-01,-1.34E+00,-1.01E+00,-1.87E+00,-7.44E-02,6.47E-02,-2.22E-01,2.18E-01
24768,4.7,2.00E-01,-1.33E+00,-1.04E+00,-1.84E+00,-7.24E-02,6.37E-02,-2.20E-01,2.11E-01
24769,5,2.25E-01,-1.34E+00,-1.08E+00,-1.83E+00,-7.13E-02,6.22E-02,-2.17E-01,2.18E-01
24770,4.9,2.34E-01,-1.40E+00,-1.15E+00,-1.81E+00,-7.07E-02,6.11E-02,-2.14E-01,2.21E-01
24771,5.2,2.45E-01,-1.40E+00,-1.29E+00,-1.76E+00,-6.26E-02,5.84E-02,-2.09E-01,1.21E-01
24772,5,2.25E-01,-1.38E+00,-1.28E+00,-1.74E+00,-6.20E-02,5.80E-02,-2.07E-01,1.28E-01
24773,6.2,1.88E-01,-1.31E+00,-1.34E+00,-1.73E+00,-5.94E-02,5.53E-02,-2.04E-01,7.35E-02
24774,6.8,1.24E-01,-1.20E+00,-1.20E+00,-1.76E+00,-6.62E-02,5.55E-02,-2.06E-01,1.61E-01
24775,7,9.69E-02,-1.22E+00,-1.23E+00,-1.75E+00,-6.75E-02,5.46E-02,-2.04E-01,1.72E-01
