,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,7,V8
33347,7.1,-1.05E+00,8.97E-01,-1.37E+00,3.48E-03,3.30E-01,-3.92E-01,6.32E-01,-5.26E-02
33348,6.9,-3.29E-01,4.36E+00,3.64E+00,3.97E-02,2.48E-02,-1.55E+00,7.33E-01,-3.63E-02
33349,7.3,-5.40E-01,2.90E+00,2.87E+00,7.50E-03,-1.48E-01,-3.55E+00,5.60E-01,-5.78E-03
33350,6.9,-6.06E-01,2.67E+00,2.52E+00,2.73E-03,-1.72E-01,-3.55E+00,5.27E-01,-1.14E-02
33351,7,-6.71E-01,2.44E+00,2.16E+00,2.10E-03,-1.12E-01,-3.40E+00,5.33E-01,-7.80E-02
33352,7.1,-6.42E-01,2.37E+00,2.10E+00,4.01E-04,-1.19E-01,-3.50E+00,5.22E-01,-1.25E-02
33353,7.1,-6.67E-01,2.26E+00,1.92E+00,-5.03E-04,-1.06E-01,-3.41E+00,5.19E-01,-1.48E-02
33354,7,-8.24E-01,1.71E+00,6.34E-01,-2.57E-04,5.44E-02,-2.35E+00,5.39E-01,-2.06E-02
33355,7,-9.36E-01,1.21E+00,-5.14E-01,5.26E-05,1.94E-01,-1.36E+00,5.74E-01,-5.53E-02
33356,6.9,-9.85E-01,1.09E+00,-7.63E-01,-5.86E-04,2.16E-01,-1.19E+00,5.60E-01,-4.41E-02
33357,7.2,-1.00E+00,9.43E-01,-9.84E-01,3.59E-04,2.73E-01,-1.01E+00,5.77E-01,-4.38E-02
33358,7.1,-1.01E+00,8.80E-01,-1.13E+00,-3.84E-04,2.81E-01,-9.28E-01,5.56E-01,-4.87E-02
33359,7.2,-1.02E+00,8.07E-01,-1.24E+00,-2.62E-04,3.05E-01,-8.61E-01,5.63E-01,-4.86E-02
33360,7.3,-1.03E+00,7.59E-01,-1.32E+00,-3.07E-05,3.23E-01,-8.08E-01,5.69E-01,-4.84E-02
33361,7.3,-1.04E+00,7.20E-01,-1.37E+00,-4.69E-04,3.26E-01,-7.98E-01,5.68E-01,-4.88E-02
33362,7,-1.06E+00,7.01E-01,-1.47E+00,-1.93E-03,3.02E-01,-7.49E-01,5.51E-01,-5.38E-02
33363,7,-1.07E+00,6.47E-01,-1.58E+00,-2.07E-03,3.15E-01,-6.70E-01,5.52E-01,-5.54E-02
33364,6.9,-1.07E+00,6.40E-01,-1.60E+00,-2.15E-03,3.15E-01,-6.52E-01,5.52E-01,-5.60E-02
33365,7.2,-1.08E+00,5.50E-01,-1.75E+00,-1.33E-03,3.56E-01,-5.24E-01,5.67E-01,-5.57E-02
33366,6.8,-1.09E+00,5.94E-01,-1.69E+00,-2.95E-03,3.12E-01,-6.14E-01,5.46E-01,-5.81E-02
33367,7.1,-1.08E+00,5.57E-01,-1.73E+00,-1.90E-03,3.44E-01,-5.66E-01,5.61E-01,-5.60E-02
33368,7.1,-1.09E+00,5.50E-01,-1.73E+00,-2.15E-03,3.41E-01,-5.88E-01,5.59E-01,-5.56E-02
33369,7,-1.10E+00,5.16E-01,-1.81E+00,-2.72E-03,3.39E-01,-5.38E-01,5.54E-01,-5.79E-02
33370,7.1,-1.10E+00,5.15E-01,-1.80E+00,-2.43E-03,3.45E-01,-5.46E-01,5.58E-01,-5.68E-02
33371,7.1,-1.03E+00,8.59E-01,-1.47E+00,3.66E-03,3.60E-01,-3.35E-01,5.89E-01,-5.86E-02
33372,7.1,-4.85E-01,3.68E+00,2.04E+00,4.24E-02,2.78E-01,-1.36E-01,7.53E-01,-4.81E-02
33373,7.2,-7.25E-01,2.25E+00,1.30E+00,9.78E-03,9.42E-02,-2.20E+00,5.64E-01,-8.35E-02
33374,7.3,-7.65E-01,2.02E+00,1.03E+00,7.14E-03,1.09E-01,-2.20E+00,5.56E-01,-8.36E-02
33375,7.1,-7.83E-01,1.92E+00,8.84E-01,4.56E-03,9.82E-02,-2.27E+00,5.26E-01,-8.68E-02
33376,7.1,-7.94E-01,1.71E+00,5.20E-01,1.91E-03,9.70E-02,-2.08E+00,5.30E-01,-4.31E-02
33377,7.3,-8.42E-01,1.52E+00,1.59E-01,2.44E-03,1.66E-01,-1.83E+00,5.39E-01,-2.99E-02
33378,7.3,-8.85E-01,1.28E+00,-3.11E-01,1.89E-03,2.26E-01,-1.51E+00,5.31E-01,-3.77E-02
33379,7,-9.12E-01,1.22E+00,-4.47E-01,2.75E-04,2.11E-01,-1.46E+00,5.17E-01,-4.20E-02
33380,7,-9.37E-01,1.13E+00,-6.14E-01,-3.48E-04,2.22E-01,-1.34E+00,5.11E-01,-4.50E-02
33381,7.2,-9.81E-01,9.10E-01,-1.06E+00,6.49E-05,2.93E-01,-9.94E-01,5.29E-01,-4.97E-02
33382,7.1,-1.00E+00,8.39E-01,-1.21E+00,-6.79E-04,2.98E-01,-9.01E-01,5.24E-01,-5.28E-02
33383,6.7,-1.02E+00,8.27E-01,-1.30E+00,-2.14E-03,2.77E-01,-8.63E-01,4.91E-01,-5.96E-02
33384,6.9,-1.02E+00,7.57E-01,-1.43E+00,-1.11E-03,3.17E-01,-7.41E-01,5.07E-01,-5.91E-02
33385,6.8,-1.03E+00,7.36E-01,-1.45E+00,-1.88E-03,3.08E-01,-7.59E-01,5.01E-01,-5.99E-02
33386,6.7,-1.04E+00,7.11E-01,-1.51E+00,-2.92E-03,2.95E-01,-7.59E-01,4.91E-01,-6.19E-02
33387,6.9,-1.03E+00,6.76E-01,-1.53E+00,-1.79E-03,3.28E-01,-7.20E-01,5.07E-01,-5.92E-02
33388,7,-1.03E+00,6.61E-01,-1.54E+00,-1.83E-03,3.31E-01,-7.32E-01,5.08E-01,-5.85E-02
